lang,T,n1,n_types,plateau_size,plateau_mass,floor,plateau_types_used,corpus_lines,empty_lines
cnh_Latn,2470734,1295,7318,86421,6.69080690e-04,-18.676592,392,100000,0
cni_Latn,1193798,843,4739,91115,1.43372690e-03,-17.967356,432,32688,0
cnk_Latn,465262,860,4535,90619,3.68153527e-03,-17.018845,171,11067,0
cnl_Latn,1048766,111,2170,96134,1.75317668e-03,-17.819824,111,17804,0
cnt_Latn,1041734,160,2112,95838,1.77371472e-03,-17.805094,203,17808,0
cnw_Latn,257318,791,3494,91253,6.62733004e-03,-16.437944,54,6740,0
coe_Latn,931760,191,2891,93544,1.94056414e-03,-17.690964,191,17384,0
cof_Latn,866992,202,3269,92177,2.03414693e-03,-17.629145,150,16915,0
cok_Latn,1914416,390,3994,92091,9.17576712e-04,-18.424307,230,28590,0
con_Latn,830258,221,3205,92752,2.14808721e-03,-17.580862,142,17696,0
cop_Copt,1891407,13,318,99696,1.00334459e-03,-18.414297,40,27503,0
cor_Latn,1581224,748,5404,88812,1.07222545e-03,-18.232296,125,41440,0
cos_Latn,285895,2118,8106,86676,5.63132341e-03,-16.549343,251,9423,0
cot_Latn,1038368,112,2376,94792,1.71901647e-03,-17.825443,154,17733,0
cou_Latn,285171,718,3417,92701,6.11301566e-03,-16.534470,61,6745,0
cpa_Latn,922285,133,2174,95987,1.98874650e-03,-17.692219,166,17827,0
cpb_Latn,680506,177,3464,93023,2.57760933e-03,-17.401495,125,17824,0
cpc_Latn,697106,144,3074,93942,2.53323278e-03,-17.428692,120,17825,0
cpu_Latn,729423,167,3312,93352,2.42274731e-03,-17.466986,126,17825,0
cpy_Latn,646112,146,3011,93884,2.74260228e-03,-17.348663,144,14716,0
crh_Cyrl,1673772,125,2235,97026,1.12043398e-03,-18.276773,262,38964,0
crh_Latn,635920,2472,9954,83389,2.49134485e-03,-17.326204,376,17238,0
cri_Latn,43023,952,2868,93417,3.46734667e-02,-14.806609,25,2059,0
crj_Cans,291021,27,656,99093,6.42525865e-03,-16.551332,16,4295,0
crk_Cans,249202,95,583,99229,7.47497167e-03,-16.401381,95,4454,0
crk_Latn,296237,626,2472,94854,5.97628962e-03,-16.580050,138,6188,0
crl_Cans,292661,26,595,99212,6.36360913e-03,-16.562174,30,4295,0
crm_Cans,613717,17,610,99153,3.08992732e-03,-17.284027,24,11058,0
crn_Latn,2980762,249,3836,91993,5.87782216e-04,-18.868622,271,37171,0
crs_Latn,2287319,1156,6533,88233,7.42045861e-04,-18.593836,418,100000,0
crt_Latn,640050,417,3420,92979,2.74806679e-03,-17.336987,200,10872,0
crx_Latn,566881,499,3722,92217,3.08877143e-03,-17.211882,137,11044,0
csb_Latn,318263,2222,7268,88214,5.16640546e-03,-16.653099,195,9336,0
csk_Latn,829147,168,3870,91813,2.12648242e-03,-17.580795,132,17816,0
cso_Latn,1125487,149,2084,96533,1.63579479e-03,-17.893267,194,17825,0
csw_Cans,10291,68,455,99401,1.32965650e-01,-13.524582,50,124,0
csw_Latn,6650,357,915,97884,1.17003063e-01,-13.637094,8,247,0
csy_Latn,1332324,836,5355,88797,1.27892524e-03,-18.055843,258,36704,0
cta_Latn,1094041,145,2479,94845,1.67041101e-03,-17.854685,180,17725,0
ctd_Latn,2338999,459,5749,88397,7.26677556e-04,-18.616621,329,66425,0
cto_Latn,382552,1421,5188,89679,4.43945895e-03,-16.821215,157,16604,0
ctp_Latn,1662363,542,3735,92657,1.08272034e-03,-18.264938,325,25169,0
ctu_Latn,3285078,1228,7101,87519,5.13699348e-04,-18.953484,398,100000,0
cub_Latn,1134327,303,3299,93535,1.58704638e-03,-17.891972,216,17667,0
cuc_Latn,980680,92,1761,96622,1.88405691e-03,-17.752890,145,17804,0
cui_Latn,1221457,182,3401,92484,1.44663963e-03,-17.973303,172,17685,0
cuk_Latn,1804122,717,5301,89384,9.47644222e-04,-18.362228,273,44245,0
cul_Latn,1173562,94,2392,94431,1.53566891e-03,-17.934414,141,17610,0
cut_Latn,786360,149,2387,94373,2.30171319e-03,-17.529112,150,17581,0
cux_Latn,647826,367,3029,93845,2.77715591e-03,-17.335728,201,11059,0
cwd_Cans,9239,56,365,99417,1.02777072e-01,-13.782271,12,231,0
cwe_Latn,605240,207,4367,90215,2.82395547e-03,-17.279568,91,17817,0
cwt_Latn,572110,350,4336,90945,3.02321037e-03,-17.219446,96,13447,0
cya_Latn,699439,113,2328,95122,2.60112639e-03,-17.414726,126,17827,0
cym_Latn,4076048,2139,11578,81447,3.74869635e-04,-19.196640,940,100000,0
czt_Latn,799612,692,4034,90395,2.18154291e-03,-17.539667,153,19062,0
daa_Latn,772891,154,3771,91198,2.27306185e-03,-17.507416,81,17721,0
dad_Latn,938291,128,3867,91264,1.87545332e-03,-17.700417,122,24369,0
daf_Latn,287117,501,1853,96464,6.38160093e-03,-16.531261,138,10483,0
dag_Latn,1176229,2424,11566,80342,1.30817464e-03,-17.933170,494,11906,0
dah_Latn,1322909,154,3410,92023,1.34623482e-03,-18.040237,226,23848,0
dak_Latn,81127,715,2467,94174,2.00854192e-02,-15.360661,29,2019,0
dan_Latn,4279436,2086,10963,82189,3.65528970e-04,-19.230942,845,100000,0
dar_Cyrl,84293,154,1222,97966,2.02068816e-02,-15.394108,31,1870,0
dbq_Latn,335814,566,2985,92799,5.24222997e-03,-16.689199,79,6656,0
ddg_Latn,27230,805,2134,94410,4.99498078e-02,-14.452139,25,1354,0
ddn_Latn,266235,275,1662,96442,6.82717737e-03,-16.463541,65,6765,0
ded_Latn,1497854,151,3677,91432,1.18850589e-03,-18.158409,268,34664,0
des_Latn,925990,195,3016,93435,1.93179605e-03,-17.694326,159,17332,0
deu_Latn,3467784,1482,8845,84308,4.62208454e-04,-19.021727,392,100000,0
dga_Latn,476126,1022,4488,90708,3.58639332e-03,-17.046009,196,17138,0
dgc_Latn,702391,247,4696,89925,2.44795560e-03,-17.419233,104,17586,0
dgi_Latn,576107,270,2883,94233,3.10014629e-03,-17.229832,97,13517,0
dgr_Latn,1020261,214,2464,95555,1.80217436e-03,-17.786219,161,18978,0
dgz_Latn,1012897,95,3524,91933,1.73249788e-03,-17.787006,139,24281,0
dhg_Latn,111194,138,1516,96811,1.56213561e-02,-15.639632,41,1607,0
dhm_Latn,400754,385,4242,90968,4.25849775e-03,-16.877102,98,11061,0
dhv_Latn,2188535,1298,6490,87252,7.66366732e-04,-18.550406,221,100000,0
did_Latn,342412,539,2944,93726,5.08861790e-03,-16.728880,57,6278,0
dig_Latn,475555,384,4896,88645,3.51129046e-03,-17.044167,82,13447,0
dik_Latn,1609281,1931,8529,85276,1.01604762e-03,-18.245483,495,40448,0
dip_Latn,238874,651,2921,93005,7.23160151e-03,-16.369703,56,6750,0
diq_Latn,707186,2849,11728,81802,2.17111684e-03,-17.444571,481,28046,0
dis_Latn,431084,358,2843,93059,4.11698829e-03,-16.933622,105,11060,0
diu_Latn,3073,493,974,97199,1.48482095e-01,-13.391807,5,166,0
div_Thaa,2190579,765,1777,98656,8.50530928e-04,-18.569044,931,33933,0
dje_Latn,225047,686,3335,91885,7.62009357e-03,-16.305260,45,6801,0
djk_Latn,2389444,915,5670,88110,7.15446965e-04,-18.628944,284,92008,0
djr_Latn,839829,450,2646,94765,2.17714197e-03,-17.588898,348,10796,0
dks_Latn,468007,423,3463,92400,3.73621905e-03,-17.023563,69,15265,0
dln_Latn,1008320,778,5045,90003,1.70033746e-03,-17.784527,189,26435,0
dng_Cyrl,24230,133,643,98591,5.65720498e-02,-14.370975,12,804,0
dnj_Latn,1425137,215,2451,95004,1.28105685e-03,-18.121744,85,21454,0
dnw_Latn,369239,467,2933,93360,4.80381014e-03,-16.782564,88,6439,0
dob_Latn,1372424,144,3296,92905,1.28759645e-03,-18.094311,165,31031,0
doi_Deva,160192,213,2141,97240,1.10347541e-02,-15.991643,88,3674,0
dop_Latn,1561580,304,3167,93930,1.16613587e-03,-18.204365,190,33651,0
dos_Latn,311202,633,2926,93768,5.66129996e-03,-16.622681,64,6742,0
dow_Latn,453263,446,3215,93004,3.89808722e-03,-16.987667,74,11019,0
drg_Latn,3992,537,1104,96669,1.38004834e-01,-13.459515,7,201,0
dru_Latn,1380042,455,4261,90391,1.24734430e-03,-18.098639,186,29903,0
dsb_Latn,317834,2187,7572,87084,5.10285227e-03,-16.652584,203,9265,0
dsh_Latn,345358,594,3312,93085,5.11519383e-03,-16.716808,93,6743,0
dtb_Latn,325761,607,3763,92022,5.29991482e-03,-16.669847,70,6615,0
dtp_Latn,2393569,1004,7243,86731,6.96164321e-04,-18.640491,483,52534,0
dts_Latn,575862,255,3155,92807,3.06591944e-03,-17.225685,86,13356,0
dty_Deva,569722,1275,3944,94063,3.16006325e-03,-17.208883,541,11466,0
dua_Latn,934511,1267,5750,88654,1.81872499e-03,-17.702116,263,43871,0
due_Latn,749467,206,3895,91053,2.31112972e-03,-17.489216,128,17710,0
dug_Latn,552390,602,4971,89335,3.07056943e-03,-17.186041,379,13397,0
duo_Latn,785690,220,4743,89961,2.17489449e-03,-17.537907,147,17496,0
dur_Latn,483647,325,2604,94589,3.75685501e-03,-17.041470,98,11023,0
dwr_Ethi,125461,154,676,98943,1.42630898e-02,-15.752379,152,1693,0
dwr_Latn,1172840,149,3779,91769,1.49123187e-03,-17.935183,116,28305,0
dww_Latn,1335287,99,3753,91580,1.31479596e-03,-18.059042,180,31055,0
dyi_Latn,778595,192,2932,92886,2.29683744e-03,-17.515350,105,17802,0
dyo_Latn,604623,719,5384,88797,2.80373163e-03,-17.270912,173,14804,0
dyu_Latn,2831483,1410,7710,84595,5.76180555e-04,-18.804720,300,100000,0
dzo_Tibt,967942,1378,3657,95461,2.00561808e-03,-17.678276,881,13407,0
ebk_Latn,785072,202,4284,90522,2.20709861e-03,-17.529425,124,17799,0
efi_Latn,2507909,1404,6721,88124,6.78521507e-04,-18.682095,466,100000,0
eka_Latn,718385,200,3635,92274,2.45346438e-03,-17.442772,100,17820,0
ekk_Latn,4563372,2203,11264,81429,3.36689281e-04,-19.303837,1079,100000,0
eko_Latn,100707,771,3313,92629,1.62767413e-02,-15.554376,43,2700,0
ell_Grek,7228658,2605,8015,90244,2.39262794e-04,-19.748220,1497,100000,0
eme_Latn,5374,391,908,97518,1.26393126e-01,-13.556150,7,645,0
emi_Latn,775780,347,3422,92204,2.24280250e-03,-17.531788,138,18149,0
eml_Latn,1005123,2159,10061,84385,1.58970220e-03,-17.787354,393,25500,0
emp_Latn,813720,307,2886,93824,2.21323676e-03,-17.562475,192,18016,0
enb_Latn,627294,207,2446,94549,2.87297039e-03,-17.309282,75,13439,0
eng_Latn,3338608,1766,10617,82112,4.72731615e-04,-18.972822,571,100000,0
enl_Latn,550777,360,2644,94157,3.26538851e-03,-17.177095,110,11016,0
enm_Latn,1248244,772,5357,89168,1.35967003e-03,-17.998791,177,34177,0
enq_Latn,723612,178,2971,92861,2.46227638e-03,-17.445528,125,16127,0
enx_Latn,1522799,579,4082,92160,1.16715087e-03,-18.184471,193,26138,0
epo_Latn,1995776,2363,11538,81547,7.75501221e-04,-18.470936,795,100000,0
eri_Latn,880014,197,3675,90713,1.98195455e-03,-17.639128,152,17713,0
ese_Latn,1661139,460,3155,93353,1.06658208e-03,-18.287439,343,24273,0
esi_Latn,556494,294,2947,94024,3.16220716e-03,-17.207790,131,11038,0
esk_Latn,882583,185,3234,93590,2.00319467e-03,-17.659691,156,17756,0
ess_Latn,316576,724,3624,92770,5.46237139e-03,-16.647751,102,6942,0
esu_Latn,430754,412,3596,92611,4.03179405e-03,-16.949707,100,11057,0
eto_Latn,2786,384,732,97877,1.52904062e-01,-13.369411,4,153,0
etr_Latn,482926,110,2095,95549,3.72998206e-03,-17.058746,124,9965,0
etu_Latn,558297,305,2778,94485,3.23210253e-03,-17.190819,118,11024,0
eus_Latn,3268574,2373,12537,79865,4.59995282e-04,-18.972387,863,100000,0
eve_Cyrl,84801,69,1207,98085,2.00317401e-02,-15.404027,30,1953,0
ewe_Latn,2784660,1658,8275,84846,5.82813738e-04,-18.796236,328,100000,0
ewo_Latn,374197,923,4617,90522,4.53217194e-03,-16.809902,184,11283,0
ext_Latn,293968,2443,9217,84868,5.33669706e-03,-16.582001,180,8692,0
eza_Latn,1628414,623,4693,89608,1.05816857e-03,-18.254416,137,30724,0
faa_Latn,1380713,124,3110,93733,1.30762104e-03,-18.087751,244,24288,0
fad_Latn,75676,356,2291,94065,2.15282078e-02,-15.290133,39,1949,0
fai_Latn,1433686,85,3331,92428,1.24963962e-03,-18.119085,157,28850,0
fal_Latn,493771,268,3273,92421,3.57845844e-03,-17.066933,52,13515,0
fan_Latn,373811,1401,5393,89132,4.51693937e-03,-16.797794,101,17431,0
fao_Latn,3572088,1978,11076,82325,4.40222063e-04,-19.046661,1015,94618,0
far_Latn,467474,202,2615,93538,3.76367507e-03,-17.028482,78,10940,0
fas_Arab,4897666,2457,7366,91471,5.20907645e-04,-18.983715,1659,100000,0
fat_Latn,1083815,1324,6382,88053,1.54492992e-03,-17.858471,195,39870,0
ffm_Latn,852083,125,4542,90196,2.03908631e-03,-17.604994,53,24480,0
fij_Latn,2421880,1480,7716,85781,6.78754258e-04,-18.654804,377,100000,0
fil_Latn,3158460,1950,12749,79470,4.81223461e-04,-18.922314,769,100000,0
fin_Latn,4485213,2226,11854,81010,3.43655015e-04,-19.278200,1008,100000,0
fit_Latn,113550,1625,5320,90630,1.40722100e-02,-15.678094,67,3881,0
fkv_Latn,45622,1254,3705,92912,3.25468777e-02,-14.864482,36,1884,0
fmu_Deva,47825,166,991,98468,3.34738752e-02,-14.894477,47,974,0
fon_Latn,3267832,1569,7436,86594,5.14958210e-04,-18.940411,282,100000,0
for_Latn,1355578,56,2547,93641,1.31811604e-03,-18.078775,116,31149,0
fra_Latn,3405833,2057,11173,82076,4.73497827e-04,-18.970764,828,100000,0
frd_Latn,512716,312,3442,91988,3.42991459e-03,-17.104633,122,10934,0
fro_Latn,254602,1247,4978,90379,6.52177453e-03,-16.444376,91,15794,0
frp_Latn,364360,2171,8614,86166,4.39999812e-03,-16.790182,213,5176,0
frr_Latn,236669,2092,7387,87288,6.77119806e-03,-16.372046,178,10794,0
fry_Latn,3467038,2071,11354,81004,4.43840632e-04,-19.022299,846,100000,0
fub_Latn,1283984,744,6403,87245,1.31299882e-03,-18.011917,232,38248,0
fud_Latn,205928,501,2314,95080,8.55249068e-03,-16.224007,149,9316,0
fue_Latn,344770,638,4578,90638,4.95621071e-03,-16.721743,82,10730,0
fuf_Latn,744288,477,4991,89588,2.29877975e-03,-17.478354,226,21670,0
fuh_Latn,880846,461,5364,88967,1.93775450e-03,-17.642246,73,24509,0
fuq_Latn,633965,268,4713,90304,2.72691538e-03,-17.315521,133,17770,0
fur_Latn,1279143,2152,11082,82241,1.20636843e-03,-18.037550,460,46173,0
fuv_Arab,366595,28,546,99232,5.16455326e-03,-16.771152,51,6753,0
fuv_Latn,1039218,2306,10407,81483,1.50204672e-03,-17.809076,275,30578,0
gaa_Latn,2334136,1766,7843,85665,7.08535600e-04,-18.610510,385,100000,0
gag_Cyrl,593481,98,1790,97532,3.09046283e-03,-17.267370,136,14070,0
gag_Latn,602054,622,4269,91954,2.90137550e-03,-17.271614,156,14325,0
gah_Latn,1280935,29,2525,93869,1.40823207e-03,-18.015076,113,24357,0
gai_Latn,1017550,196,3053,93281,1.74739118e-03,-17.793003,176,17631,0
gam_Latn,1001123,85,3015,92557,1.78716808e-03,-17.762703,133,24151,0
gaw_Latn,1297426,96,3210,92537,1.37449332e-03,-18.025034,148,24230,0
gaz_Latn,3048674,1567,8726,83389,5.40854486e-04,-18.853632,220,100000,0
gbi_Latn,711589,250,3711,90595,2.43490212e-03,-17.432003,136,13298,0
gbo_Latn,369275,365,2223,95448,4.88903149e-03,-16.787098,60,6764,0
gbr_Latn,408560,721,4105,90910,4.18361402e-03,-16.894205,143,10708,0
gcf_Latn,1604056,988,4773,89932,1.08894936e-03,-18.229351,258,67389,0
gcr_Latn,596086,888,3762,92100,2.98034773e-03,-17.246346,163,26871,0
gde_Latn,855589,160,2701,93700,2.10047090e-03,-17.613447,145,17787,0
gdg_Latn,460070,480,4467,90312,3.69840403e-03,-17.010880,128,10967,0
gdn_Latn,1405063,81,2753,93265,1.27364367e-03,-18.109074,145,23906,0
gdr_Latn,1459501,111,3644,91379,1.21565593e-03,-18.135242,158,24452,0
geb_Latn,1028135,213,2821,93759,1.75445028e-03,-17.794083,130,17527,0
gej_Latn,301518,462,2157,94864,5.97897204e-03,-16.579706,65,6763,0
gfk_Latn,1126386,82,3634,91477,1.56534558e-03,-17.883492,140,23745,0
ghe_Deva,522860,72,1319,97913,3.59899722e-03,-17.118935,59,11062,0
ghs_Latn,1371697,76,2681,93325,1.31420676e-03,-18.078365,139,29407,0
gid_Latn,423953,623,4314,90934,4.05722942e-03,-16.925144,116,11033,0
gil_Latn,2117712,1076,5412,90152,8.02053130e-04,-18.537588,604,100000,0
giz_Latn,1421380,766,5832,88025,1.19233026e-03,-18.117222,130,34343,0
gjn_Latn,1282580,676,4543,90055,1.34647870e-03,-18.018438,112,30192,0
gkn_Latn,2451585,1129,5329,90359,7.11908401e-04,-18.659107,306,77520,0
gla_Latn,4530840,2304,10303,82819,3.48084038e-04,-19.287479,1305,100000,0
gle_Latn,5465689,2090,9391,83368,2.90609964e-04,-19.474548,1133,100000,0
glg_Latn,3493821,2710,13461,79429,4.30895098e-04,-19.032265,1139,100000,0
glk_Arab,932699,828,3690,95373,1.88108925e-03,-17.741455,579,22263,0
glv_Latn,2684400,1419,7113,86841,6.22444195e-04,-18.753691,606,60970,0
gmh_Latn,85270,1306,3885,92202,1.86823366e-02,-15.411914,58,3042,0
gmv_Ethi,465725,19,524,99064,4.06373425e-03,-17.009174,13,10916,0
gmv_Latn,1120235,751,5114,89100,1.52466477e-03,-17.883495,141,30907,0
gna_Latn,523751,176,2411,95440,3.47561543e-03,-17.128237,104,10888,0
gnb_Latn,422775,477,3908,91679,4.06567215e-03,-16.931225,94,11064,0
gnd_Latn,814512,249,3235,93546,2.18903041e-03,-17.570505,122,13375,0
gng_Latn,772210,206,3149,92920,2.30885868e-03,-17.510496,119,17738,0
gnn_Latn,1166255,280,2109,95432,1.57985468e-03,-17.916592,164,15289,0
gnw_Latn,1842223,283,4134,90931,9.48529230e-04,-18.378454,179,36657,0
goa_Latn,35107,560,1686,95837,4.18330739e-02,-14.644472,28,1598,0
gof_Ethi,416290,8,526,99076,4.54644235e-03,-16.897053,19,11001,0
gof_Latn,613257,269,4042,91413,2.83598378e-03,-17.288509,128,17756,0
gog_Latn,554618,399,4148,90516,3.09795128e-03,-17.190296,139,14102,0
goh_Latn,9441,1240,2353,94935,9.67355138e-02,-13.796722,9,306,0
gom_Deva,145371,263,2037,97374,1.21518042e-02,-15.896592,78,3496,0
gom_Latn,2196617,1935,10263,81807,6.99656103e-04,-18.577040,321,77660,0
gor_Latn,654088,722,4579,89548,2.57113921e-03,-17.365936,89,13438,0
gos_Latn,38519,891,2559,94521,3.80529418e-02,-14.725354,31,3946,0
got_Goth,2798990,97,1192,98695,7.37995549e-03,-16.408777,230,7413,0
got_Latn,104051,761,2707,93992,1.58868527e-02,-15.593228,59,4657,0
gqr_Latn,794834,180,2817,93185,2.26068048e-03,-17.534431,128,17816,0
grc_Grek,6041329,71,715,99306,3.14154000e-04,-19.571589,202,100000,0
grt_Beng,754611,28,660,99169,2.52810708e-03,-17.484865,84,13469,0
gso_Latn,733891,426,3786,91232,2.37388171e-03,-17.464390,162,18608,0
gsw_Latn,3394424,2643,13190,79311,4.38294337e-04,-19.013752,895,93517,0
gub_Latn,3104942,155,2835,93930,5.90554237e-04,-18.884754,260,56520,0
guc_Latn,2692450,1194,6390,87709,6.31400747e-04,-18.749350,378,100000,0
gud_Latn,524588,359,2870,94176,3.36305803e-03,-17.147825,100,11042,0
gug_Latn,2711127,1902,11249,80778,5.74853811e-04,-18.760855,423,100000,0
guh_Latn,1272105,168,2961,92934,1.39713334e-03,-18.012978,193,17659,0
gui_Latn,1009725,563,4130,91397,1.72782269e-03,-17.783861,224,28148,0
guj_Gujr,5996640,1091,2414,98966,3.17213272e-04,-19.558468,1636,100000,0
guj_Latn,151734,2397,7618,86302,1.01625520e-02,-15.954654,85,4070,0
guk_Ethi,723510,17,621,98880,2.64588776e-03,-17.436411,25,13514,0
gul_Latn,753196,200,3235,92578,2.37677053e-03,-17.477819,148,17812,0
gum_Latn,1041563,439,4118,90824,1.67008488e-03,-17.811560,159,19118,0
gun_Latn,670255,239,3104,93294,2.65836220e-03,-17.373556,140,17907,0
guo_Latn,1013671,195,3638,91974,1.74403494e-03,-17.780815,146,17493,0
guq_Latn,550856,302,2392,93982,3.29039454e-03,-17.167606,123,13503,0
gur_Latn,2805667,967,7392,85648,5.85381142e-04,-18.801249,478,77453,0
guu_Latn,422779,284,1934,95498,4.29681280e-03,-16.916742,82,6743,0
guw_Latn,2593496,1243,6466,87703,6.54809707e-04,-18.712877,297,100000,0
gux_Latn,970909,1259,5467,87910,1.72937122e-03,-17.744066,246,27027,0
guz_Latn,244167,964,3925,90987,6.87984763e-03,-16.397631,111,7508,0
gvc_Latn,1285297,134,3024,93368,1.39460329e-03,-18.019449,141,24005,0
gvf_Latn,1133407,57,2883,92585,1.57721115e-03,-17.887980,76,24429,0
gvl_Latn,861245,165,3393,92141,2.06518011e-03,-17.613613,77,17827,0
gvn_Latn,599963,448,2978,92765,2.97081847e-03,-17.256742,143,11212,0
gwi_Latn,970568,223,3107,93572,1.85385459e-03,-17.736975,180,17620,0
gwr_Latn,300326,776,4217,91138,5.68084176e-03,-16.590786,85,6749,0
gya_Latn,1573230,874,5219,89423,1.10458237e-03,-18.209421,244,38815,0
gym_Latn,2543079,1441,6807,87131,6.63967243e-04,-18.692446,274,100000,0
gyr_Latn,2062234,73,3536,91921,8.58024249e-04,-18.489563,123,46436,0
hac_Arab,3404198,1019,3868,96187,6.05308692e-04,-18.883821,1351,28717,0
hae_Latn,582318,305,4213,91014,2.94565992e-03,-17.246191,92,13526,0
hag_Latn,470446,345,2885,92443,3.71031215e-03,-17.030987,97,14200,0
hak_Hani,2005988,1,263,99663,9.67310741e-04,-18.450541,8,29565,0
hak_Latn,664672,543,2690,94494,2.72299061e-03,-17.362316,199,13696,0
hat_Latn,3243489,1948,10208,82409,4.90795759e-04,-18.938932,588,100000,0
hau_Latn,3689995,2149,12135,79644,4.43920083e-04,-19.005188,598,100000,0
hav_Latn,155505,1223,4294,90540,1.06550038e-02,-15.955273,80,7393,0
haw_Latn,225127,599,2653,94121,7.63972050e-03,-16.326731,138,6448,0
hay_Latn,356922,1290,6517,86592,4.54617351e-03,-16.762432,118,13828,0
hbo_Hebr,6584206,26,452,99543,2.92245538e-04,-19.646261,70,100000,0
hbs_Latn,3964012,2295,12891,79509,3.78718804e-04,-19.162342,1100,100000,0
hch_Latn,1199018,1164,5404,89412,1.40864539e-03,-17.966137,298,30840,0
heb_Hebr,4616149,2091,4911,94515,3.84884053e-04,-19.319082,1461,100000,0
heg_Latn,982929,342,4284,90369,1.76834003e-03,-17.749371,155,18356,0
heh_Latn,678516,361,4467,89779,2.51514414e-03,-17.390532,160,18364,0
her_Latn,2206707,1182,6763,86066,7.49707802e-04,-18.558697,268,100000,0
hif_Latn,737743,2178,9115,83875,2.16998158e-03,-17.470119,380,21900,0
hig_Latn,675945,344,2959,93919,2.68461187e-03,-17.370407,146,13520,0
hil_Latn,1856485,1613,9706,83309,8.62765716e-04,-18.385679,492,100000,0
hin_Deva,3474768,2056,6596,92780,5.16304774e-04,-19.006800,1803,100000,0
hin_Latn,1373879,1953,8827,83825,1.16089032e-03,-18.095055,517,34642,0
hix_Latn,1289663,43,2254,95352,1.41661917e-03,-18.024813,127,17476,0
hla_Latn,1096549,111,3919,91594,1.59310815e-03,-17.867189,121,23887,0
hlt_Latn,274296,667,3310,92221,6.26726551e-03,-16.504358,90,6729,0
hmo_Latn,2161488,1507,7229,87313,7.73466015e-04,-18.541883,517,100000,0
hmr_Latn,2430794,217,5173,88916,6.96301988e-04,-18.665174,120,61468,0
hne_Deva,1537462,757,3967,94222,1.18418432e-03,-18.192110,357,50507,0
hnj_Latn,3107857,342,3047,93876,5.93699023e-04,-18.878868,210,61097,0
hnn_Latn,528974,260,3722,92226,3.33401840e-03,-17.135574,73,13501,0
hns_Latn,827450,473,3576,92070,2.12999988e-03,-17.581938,161,19168,0
hoc_Latn,3195,307,704,97948,1.48318659e-01,-13.400584,3,380,0
hoc_Wara,18956,34,188,99810,7.36846657e-02,-14.118984,26,499,0
hop_Latn,523598,394,3302,93206,3.39661128e-03,-17.127544,123,11019,0
hot_Latn,1008917,123,3023,93655,1.78167823e-03,-17.777573,193,23745,0
hra_Latn,1106932,781,5079,89116,1.53339684e-03,-17.877964,216,30616,0
hrx_Latn,860323,1406,6679,87735,1.93353464e-03,-17.630482,190,38051,0
hsb_Latn,985261,2301,9399,84521,1.63175948e-03,-17.762852,525,28261,0
hto_Latn,1043866,272,3332,93104,1.70552076e-03,-17.815357,161,17753,0
hub_Latn,1068564,215,3730,91801,1.62848341e-03,-17.847485,158,23928,0
hui_Latn,3430931,142,3463,90795,5.13658879e-04,-18.990311,218,64883,0
hun_Hung,855480,197,655,99629,2.67048986e-03,-17.434702,339,11832,0
hun_Latn,5247279,2163,11230,81627,2.96028868e-04,-19.434969,943,100000,0
hus_Latn,2524432,1085,7082,86186,6.58914125e-04,-18.689180,344,57511,0
huu_Latn,1100134,75,2919,93709,1.62698434e-03,-17.868977,141,24119,0
huv_Latn,918777,521,4090,91350,1.91995337e-03,-17.677908,243,20043,0
hvn_Latn,700030,524,4404,90623,2.46960722e-03,-17.418159,105,13972,0
hwc_Latn,466355,376,3021,92670,3.83309377e-03,-17.000883,73,10591,0
hye_Armn,6064388,2893,7233,90793,2.87770979e-04,-19.569683,1355,100000,0
hyw_Armn,4467127,307,1022,99331,4.25260344e-04,-19.269022,465,100000,0
ian_Latn,1493406,81,3066,92698,1.19541426e-03,-18.166365,141,30210,0
iba_Latn,2084288,1167,7107,86008,7.99139089e-04,-18.494171,327,100000,0
ibg_Latn,1840913,1185,8327,84585,8.77661008e-04,-18.383762,311,97484,0
ibo_Latn,3771907,2083,11008,80863,4.28303352e-04,-19.056190,531,100000,0
icr_Latn,764322,187,3612,91662,2.31387753e-03,-17.494694,96,17695,0
ido_Latn,834193,2392,9670,84526,1.94231749e-03,-17.588688,544,33665,0
idu_Latn,1658102,1345,5845,88744,1.04331279e-03,-18.258865,203,59832,0
ifa_Latn,2323032,193,5346,89245,7.35228772e-04,-18.614470,230,57138,0
ifb_Latn,1427639,641,5731,88837,1.19251494e-03,-18.126249,169,33099,0
ife_Latn,1059244,100,1845,96609,1.76485270e-03,-17.818115,144,17731,0
ifk_Latn,710490,300,4644,90350,2.41590391e-03,-17.437128,136,17387,0
ifu_Latn,840194,238,3950,91328,2.08873662e-03,-17.593409,141,17672,0
ify_Latn,2483001,317,5754,88356,6.84944244e-04,-18.675303,264,55082,0
ige_Latn,1763941,1238,5199,90077,9.89553048e-04,-18.326677,194,63586,0
ign_Latn,1675970,270,3833,90977,1.03936826e-03,-18.287504,224,28193,0
ike_Cans,2115530,39,740,99213,9.06001723e-04,-18.511494,197,30725,0
ikk_Latn,1995260,555,4390,90729,8.67975689e-04,-18.464979,213,44245,0
ikt_Latn,55307,603,2205,95306,2.82920730e-02,-15.030022,43,1601,0
ikw_Latn,688432,172,3020,93339,2.59887144e-03,-17.396671,144,17829,0
ilb_Latn,361280,379,3956,91332,4.73189385e-03,-16.775686,91,10085,0
ile_Latn,253919,2046,7600,87207,6.39301695e-03,-16.428589,188,14414,0
